Name,Set,Collector Number,Rarity,Color Identity,Type,Mana Cost,CMC,Power,Toughness,Tags
Archaeomancer,Mixed,,common,U,Creature - Human Wizard,,4,,,Blue Control
Behold the Multiverse,Mixed,,common,U,Instant,,4,,,Blue Control
Ephemerate,Mixed,,common,W,Instant,,1,,,Azorius Evasion/Flying
Lórien Revealed,Mixed,,common,U,Sorcery,,5,,,Simic Control
Momentary Blink,Mixed,,common,UW,Instant,,2,,,Azorius Evasion/Flying
Oblivion Ring,Mixed,,common,W,Enchantment,,3,,,Azorius Evasion/Flying
Peregrine Drake,Mixed,,common,U,Creature - Drake,,5,,,Blue Tempo
Carrier Thrall,Mixed,,common,B,Creature - Vampire,,2,,,Golgari Graveyard
Carrion Feeder,Mixed,,common,B,Creature - Zombie,,1,,,Black Aggro
Dauthi Slayer,Mixed,,common,B,Creature - Dauthi Soldier,,2,,,Black Aggro
Gixian Infiltrator,Mixed,,common,B,Creature - Phyrexian Human,,2,,,Black Aggro
Loathsome Curator,Mixed,,common,B,Creature - Gorgon Wizard,,5,,,Black Aggro
Scurrilous Sentry,Mixed,,common,B,Creature - Human Knight Rogue,,4,,,Black Aggro
Tithing Blade,Mixed,,common,B,Artifact,,2,,,Orzhov Control
Tortured Existence,Mixed,,common,B,Enchantment,,1,,,Black Aggro
Troll of Khazad-dûm,Mixed,,common,B,Creature - Troll,,6,,,Black Aggro
Vampire Lacerator,Mixed,,common,B,Creature - Vampire Warrior,,1,,,Black Aggro
Vampire Sovereign,Mixed,,common,B,Creature - Vampire Noble,,5,,,Black Aggro
Wither and Bloom,Mixed,,common,B,Instant,,2,,,Black Control
Accursed Marauder,Mixed,,common,B,Creature - Zombie Warrior,,2,,,Black Sacrifice
Doom Blade,Mixed,,common,B,Instant,,2,,,Black Control
Falkenrath Noble,Mixed,,common,B,Creature - Vampire,,4,,,Black Control
Gift of Fangs,Mixed,,common,B,Enchantment - Aura,,1,,,Black Control
Gray Merchant of Asphodel,Mixed,,common,B,Creature - Zombie,,5,,,Black Aggro
Infestation Sage,Mixed,,common,B,Creature - Elf Warlock,,1,,,Black Control
Phyrexian Rager,Mixed,,common,B,Creature - Horror,,3,,,Black Control
Unearth,Mixed,,common,B,Sorcery,,1,,,Dimir Control
Unwilling Ingredient,Mixed,,common,B,Creature - Frog,,1,,,Black Control
Vendetta,Mixed,,common,B,Instant,,1,,,Black Control
Voracious Vermin,Mixed,,common,B,Creature - Rat,,3,,,Black Control
Blood Fountain,Mixed,,common,B,Artifact,,1,,,Golgari Graveyard
Crypt Rats,Mixed,,common,B,Creature - Rat,,3,,,Black Control
Faceless Butcher,Mixed,,common,B,Creature - Nightmare Horror,,4,,,Black Graveyard
First-Sphere Gargantua,Mixed,,common,B,Creature - Horror,,6,,,Black Graveyard
Grim Bauble,Mixed,,common,B,Artifact,,1,,,Black Graveyard
Gurmag Angler,Mixed,,common,B,Creature - Zombie Fish,,7,,,Black Graveyard
Nested Shambler,Mixed,,common,B,Creature - Zombie,,1,,,Black Graveyard
Nezumi Linkbreaker,Mixed,,common,B,Creature - Rat Warlock,,1,,,Black Graveyard
