theme,speed_score,consistency_score,early_game_density,card_quality,threat_density,interaction_score,mana_efficiency,late_game_power,creature_quality,archetype_coherence,overall_performance,archetype
White Soldiers,3.75,4.795,1.0,0.923,0.375,0.0,2.0,0.0,0.333,0.9,1.813,Aggro
White Equipment,2.833,4.485,0.667,1.487,0.292,0.0,1.154,0.0,0.5,0.25,1.579,Midrange
White Angels,0.833,2.848,0.083,2.718,0.375,0.0,0.6,0.333,0.944,0.417,1.27,Control
White Weenies,3.5,4.727,1.0,1.077,0.458,0.0,1.667,0.0,0.306,0.88,1.773,Aggro
Blue Flying,2.083,3.28,0.333,1.949,0.375,0.0,0.857,0.167,0.861,0.431,1.388,Tempo
Blue Wizards,1.083,1.28,0.25,2.41,0.292,0.0,0.638,0.25,0.833,0.312,0.988,Control
Blue Card Draw,1.333,0.394,0.333,2.308,0.292,0.0,0.682,0.333,0.861,0.417,0.891,Control
Blue Tempo,2.333,4.03,0.417,1.795,0.292,0.0,0.938,0.083,0.528,0.264,1.482,Tempo
Black Zombies,2.75,4.068,0.75,1.538,0.375,0.0,1.111,0.0,0.5,0.25,1.523,Midrange
Black Graveyard,1.083,0.917,0.25,2.513,0.417,0.0,0.638,0.333,1.125,0.417,0.987,Control
Black Sacrifice,3.333,4.758,1.0,1.179,0.375,0.0,1.5,0.0,0.417,0.208,1.677,Midrange
Black Control,1.667,2.03,0.417,2.205,0.208,0.0,0.75,0.333,0.625,0.417,1.16,Control
Red Goblins,3.333,4.576,0.917,1.179,0.375,0.0,1.5,0.0,0.361,0.817,1.71,Aggro
Red Burn,3.25,4.614,0.917,1.231,0.167,0.0,1.429,0.0,0.25,0.81,1.675,Aggro
Red Dragons,2.333,3.485,0.667,1.795,0.417,0.0,0.938,0.083,0.694,0.347,1.427,Ramp
Red Artifacts,1.917,2.917,0.333,2.051,0.333,0.0,0.811,0.083,0.75,0.375,1.308,Artifacts
Green Elves,3.5,4.545,0.917,1.077,0.417,0.0,1.667,0.0,0.389,0.194,1.671,Tribal
Green Ramp,1.167,0.0,0.5,2.41,0.417,0.0,0.652,0.4,1.028,0.514,0.856,Ramp
Green Stompy,1.833,1.576,0.417,2.051,0.333,0.0,0.789,0.167,0.917,0.458,1.105,Stompy
Green Beasts,1.833,2.121,0.333,2.103,0.333,0.0,0.789,0.25,0.833,0.417,1.197,Tribal
Azorius Control,2.167,2.667,0.417,1.897,0.333,0.0,0.882,0.083,0.778,0.104,1.257,Control
Dimir Mill,2.0,1.182,0.5,1.949,0.292,0.0,0.833,0.167,0.722,0.208,1.023,Control
Rakdos Aggro,3.583,4.553,0.917,1.026,0.375,0.0,1.765,0.0,0.333,0.837,1.742,Aggro
Gruul Midrange,1.583,2.371,0.25,2.154,0.333,0.0,0.732,0.083,0.778,0.389,1.19,Midrange
Selesnya Value,2.25,4.432,0.417,1.846,0.417,0.0,0.909,0.0,0.444,0.222,1.547,Midrange
Orzhov Lifegain Value,2.583,4.553,0.667,1.641,0.333,0.0,1.034,0.0,0.417,0.208,1.573,Midrange
Izzet Spells Matter,2.75,3.886,0.5,1.538,0.125,0.0,1.111,0.0,0.222,0.111,1.444,Tempo
Golgari Graveyard Value,2.5,4.545,0.583,1.692,0.25,0.0,1.0,0.0,0.472,0.236,1.556,Midrange
Boros Aggro,3.25,4.432,0.833,1.231,0.292,0.0,1.429,0.0,0.306,0.76,1.661,Aggro
Simic Ramp Control,2.833,4.121,0.667,1.487,0.208,0.0,1.154,0.0,0.333,0.167,1.504,Ramp
