Name,Set,Collector Number,Rarity,Color Identity,Type,Mana Cost,CMC,Power,Toughness,Tags
Boros Elite,Mixed,,common,W,Creature — Human Soldier,,1,1.0,1.0,White Soldiers
Miner's Guidewing,Mixed,,common,W,Creature — Bird,,1,1.0,1.0,White Soldiers
Topan Freeblade,Mixed,,common,W,Creature — Human Soldier,,2,2.0,2.0,White Soldiers
Ainok Bond-Kin,Mixed,,common,W,Creature — Dog Soldier,,2,2.0,1.0,White Soldiers
Azorius Chancery,Mixed,,common,,Land,,0,,,White Soldiers
Thraben Inspector,Mixed,,common,W,Creature — Human Soldier,,1,1.0,2.0,White Soldiers
Soltari Trooper,Mixed,,common,W,Creature — Soltari Soldier,,2,1.0,1.0,White Soldiers
Cathar Commando,Mixed,,common,W,Creature — Human Soldier,,2,3.0,1.0,White Soldiers
Mana Tithe,Mixed,,common,W,Instant,,1,,,White Soldiers
Raise the Alarm,Mixed,,common,W,Instant,,2,,,White Soldiers
Sunlance,Mixed,,common,W,Sorcery,,1,,,White Soldiers
You Hear Something on Watch,Mixed,,common,W,Instant,,2,,,White Soldiers
Phantom Nomad,Mixed,,common,W,Creature — Spirit Nomad,,2,0.0,0.0,White Soldiers
Ancestral Blade,Mixed,,common,W,Artifact — Equipment,,2,,,White Equipment
Vulshok Morningstar,Mixed,,common,,Artifact — Equipment,,2,,,White Equipment
Mandibular Kite,Mixed,,common,W,Artifact — Equipment,,1,,,White Equipment
Greatsword of Tyr,Mixed,,common,W,Artifact — Equipment,,2,,,White Equipment
Flayer Husk,Mixed,,common,,Artifact — Equipment,,1,,,White Equipment
Porcelain Legionnaire,Mixed,,common,W,Artifact Creature — Phyrexian Soldier,,3,3.0,1.0,White Equipment
Aerie Auxiliary,Mixed,,common,W,Creature — Bird Soldier,,4,3.0,3.0,White Equipment
Blessed Hippogriff,Mixed,,common,W,Creature — Hippogriff,,4,2.0,3.0,White Equipment
Ardenvale Tactician,Mixed,,common,W,Creature — Human Knight,,3,2.0,3.0,White Equipment
Inspiring Overseer,Mixed,,common,W,Creature — Angel Cleric,,3,2.0,1.0,White Equipment
Sandsteppe Outcast,Mixed,,common,W,Creature — Human Warrior,,3,2.0,1.0,White Equipment
Rhox Veteran,Mixed,,common,W,Creature — Rhino Soldier,,4,2.0,4.0,White Equipment
Tranquil Cove,Mixed,,common,,Land,,0,,,White Equipment
Prismatic Strands,Mixed,,common,W,Instant,,3,,,White Angels
Battle Screech,Mixed,,common,W,Sorcery,,4,,,White Angels
Militia Bugler,Mixed,,common,W,Creature — Human Soldier,,3,2.0,3.0,White Angels
Trapped in the Screen,Mixed,,common,W,Enchantment,,3,,,White Angels
Alabaster Host Intercessor,Mixed,,common,W,Creature — Phyrexian Samurai,,6,3.0,4.0,White Angels
Unbounded Potential,Mixed,,common,W,Instant,,2,,,White Angels
Momentary Blink,Mixed,,common,W,Instant,,2,,,White Angels
Eagles of the North,Mixed,,common,W,Creature — Bird Soldier,,6,3.0,3.0,White Angels
Custodi Squire,Mixed,,common,W,Creature — Spirit Cleric,,5,3.0,3.0,White Angels
Syndic of Tithes,Mixed,,common,W,Creature — Human Cleric,,2,2.0,2.0,White Angels
Gods Willing,Mixed,,common,W,Instant,,1,,,White Angels
Kor Skyfisher,Mixed,,common,W,Creature — Kor Soldier,,2,2.0,3.0,White Angels
Radiant Grove,Mixed,,common,,Land — Forest Plains,,0,,,White Angels
Gingerbrute,Mixed,,common,,Artifact Creature — Food Golem,,1,1.0,1.0,White Weenies
Deftblade Elite,Mixed,,common,W,Creature — Human Soldier,,1,1.0,1.0,White Weenies
Elite Vanguard,Mixed,,common,W,Creature — Human Soldier,,1,2.0,1.0,White Weenies
Doomed Traveler,Mixed,,common,W,Creature — Human Soldier,,1,1.0,1.0,White Weenies
Faerie Guidemother,Mixed,,common,W,Creature — Faerie,,1,1.0,1.0,White Weenies
Gideon's Lawkeeper,Mixed,,common,W,Creature — Human Soldier,,1,1.0,1.0,White Weenies
Goldmeadow Harrier,Mixed,,common,W,Creature — Kithkin Soldier,,1,1.0,1.0,White Weenies
Novice Inspector,Mixed,,common,W,Creature — Human Detective,,1,1.0,2.0,White Weenies
Savannah Lions,Mixed,,common,W,Creature — Cat,,1,2.0,1.0,White Weenies
Selesnya Sanctuary,Mixed,,common,,Land,,0,,,White Weenies
Dog Umbra,Mixed,,common,W,Enchantment — Aura,,2,,,White Weenies
Petrify,Mixed,,common,W,Enchantment — Aura,,2,,,White Weenies
Planar Disruption,Mixed,,common,W,Enchantment — Aura,,2,,,White Weenies
Glimmerlight,Mixed,,common,,Artifact — Equipment,,2,,,Blue Flying
Leonin Bola,Mixed,,common,,Artifact — Equipment,,1,,,Blue Flying
Phantom Interference,Mixed,,common,U,Instant,,1,,,Blue Flying
Mist Raven,Mixed,,common,U,Creature — Bird,,4,2.0,2.0,Blue Flying
Mocking Sprite,Mixed,,common,U,Creature — Faerie Rogue,,3,2.0,1.0,Blue Flying
Ninja of the Deep Hours,Mixed,,common,U,Creature — Human Ninja,,4,2.0,2.0,Blue Flying
Mirrorshell Crab,Mixed,,common,U,Artifact Creature — Crab,,7,5.0,7.0,Blue Flying
Cloudkin Seer,Mixed,,common,U,Creature — Elemental Wizard,,3,2.0,1.0,Blue Flying
Frost Trickster,Mixed,,common,U,Creature — Bird Wizard,,3,2.0,2.0,Blue Flying
Geyser Drake,Mixed,,common,U,Creature — Drake,,3,2.0,3.0,Blue Flying
Preening Champion,Mixed,,common,U,Creature — Bird Knight,,3,2.0,2.0,Blue Flying
Serum Visionary,Mixed,,common,U,Creature — Vedalken Wizard,,3,2.0,2.0,Blue Flying
