Name,Set,Collector Number,Rarity,Color Identity,Type,Mana Cost,CMC,Power,Toughness,Tags
Abrade,Mixed,,common,R,Instant,,2,,,Red Spellslinger
Abraded Bluffs,Mixed,,common,,Land — Desert,,0,,,Boros Aggro
Abundant Harvest,Mixed,,common,G,Sorcery,,1,,,Green Mill
Accursed Marauder,Mixed,,common,B,Creature — Zombie Warrior,,2,2.0,1.0,Black Tribals
Aerie Auxiliary,Mixed,,common,W,Creature — Bird Soldier,,4,3.0,3.0,White Tribals
Aether Chaser,Mixed,,common,R,Creature — Human Artificer,,2,2.0,1.0,Red Tribals
Aether Poisoner,Mixed,,common,B,Creature — Human Artificer,,2,1.0,1.0,Black Aristocrats
Aethersnipe,Mixed,,common,U,Creature — Elemental,,6,4.0,4.0,Simic Ramp
Ainok Bond-Kin,Mixed,,common,W,Creature — Dog Soldier,,2,2.0,1.0,White Slivers
Alabaster Host Intercessor,Mixed,,common,W,Creature — Phyrexian Samurai,,6,3.0,4.0,Unassigned
Ambitious Assault,Mixed,,common,R,Instant,,3,,,Izzet Tempo
Ancestral Blade,Mixed,,common,W,Artifact — Equipment,,2,,,White Tribals
Annoyed Altisaur,Mixed,,common,G,Creature — Dinosaur,,7,6.0,5.0,Green Ramp
Arbor Elf,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Tempo
Archaeomancer,Mixed,,common,U,Creature — Human Wizard,,4,1.0,2.0,Blue Tribals
Ardent Elementalist,Mixed,,common,R,Creature — Human Shaman,,4,2.0,1.0,Red Spellslinger
Ardenvale Tactician,Mixed,,common,W,Instant — Adventure,,3,,,Selesnya Midrange
Armadillo Cloak,Mixed,,common,GW,Enchantment — Aura,,3,,,Selesnya Midrange
Arms of Hadar,Mixed,,common,B,Sorcery,,4,,,Unassigned
Ashes to Ashes,Mixed,,common,B,Sorcery,,3,,,Golgari Midrange
Azorius Chancery,Mixed,,common,,Land,,0,,,White Enchantments
Bannerhide Krushok,Mixed,,common,G,Creature — Beast,,4,4.0,4.0,Golgari Midrange
Barbed Batterfist,Mixed,,common,R,Artifact — Equipment,,2,,,Red Tribals
Basilica Screecher,Mixed,,common,B,Creature — Bat,,2,1.0,2.0,Orzhov Midrange
Basilisk Gate,Mixed,,common,,Land — Gate,,0,,,Unassigned
Basking Broodscale,Mixed,,common,G,Creature — Eldrazi Lizard,,2,2.0,2.0,Green Tempo
Battle Screech,Mixed,,common,W,Sorcery,,4,,,Selesnya Midrange
Beetleback Chief,Mixed,,common,R,Creature — Goblin Warrior,,4,2.0,2.0,Red Tribals
Behold the Multiverse,Mixed,,common,U,Instant,,4,,,Izzet Tempo
Blastoderm,Mixed,,common,G,Creature — Beast,,4,5.0,5.0,Green Tempo
Blessed Hippogriff,Mixed,,common,W,Instant — Adventure,,4,,,White Slivers
Blightning,Mixed,,common,BR,Sorcery,,3,,,Rakdos Aggro
Blood Fountain,Mixed,,common,B,Artifact,,1,,,Black Tribals
Bloodwater Entity,Mixed,,common,RU,Creature — Elemental,,3,2.0,2.0,Izzet Tempo
Bloom Hulk,Mixed,,common,G,Creature — Plant Elemental,,4,4.0,4.0,Green Tempo
Body Dropper,Mixed,,common,BR,Creature — Devil Warrior,,2,2.0,2.0,Rakdos Aggro
Bogardan Dragonheart,Mixed,,common,R,Creature — Human Shaman,,3,2.0,2.0,Rakdos Aggro
Bonder's Ornament,Mixed,,common,,Artifact,,3,,,Selesnya Midrange
Bone Picker,Mixed,,common,B,Creature — Bird,,4,3.0,2.0,Black Spellslinger
Bonesplitter,Mixed,,common,,Artifact — Equipment,,1,,,Green Mill
Boros Elite,Mixed,,common,W,Creature — Human Soldier,,1,1.0,1.0,White Tribals
Boros Garrison,Mixed,,common,,Land,,0,,,Unassigned
Borrowed Grace,Mixed,,common,W,Instant,,3,,,Orzhov Midrange
Botanical Plaza,Mixed,,common,,Land,,0,,,Selesnya Midrange
Bountiful Landscape,Mixed,,common,,Land,,0,,,Unassigned
Brainstorm,Mixed,,common,U,Instant,,1,,,Blue Mill
Bramble Wurm,Mixed,,common,G,Creature — Wurm,,7,7.0,6.0,Green Ramp
Branching Bolt,Mixed,,common,GR,Instant,,3,,,Unassigned
Bristling Backwoods,Mixed,,common,,Land — Desert,,0,,,Red Aggro
Bubble Snare,Mixed,,common,U,Enchantment — Aura,,1,,,Unassigned
Burning-Tree Emissary,Mixed,,common,GR,Creature — Human Shaman,,2,2.0,2.0,Gruul Aggro
Burst Lightning,Mixed,,common,R,Instant,,1,,,Red Spellslinger
Bushwhack,Mixed,,common,G,Sorcery,,1,,,Green Ramp
Candy Grapple,Mixed,,common,B,Instant,,2,,,Black Spellslinger
Candy Trail,Mixed,,common,,Artifact — Food Clue,,1,,,Rakdos Aggro
Capsize,Mixed,,common,U,Instant,,3,,,Blue Spellslinger
Captured by Lagacs,Mixed,,common,GW,Enchantment — Aura,,3,,,Selesnya Midrange
Carnophage,Mixed,,common,B,Creature — Zombie,,1,2.0,2.0,Black Tempo
Carrier Thrall,Mixed,,common,B,Creature — Vampire,,2,2.0,1.0,Black Aristocrats
Carrion Feeder,Mixed,,common,B,Creature — Zombie,,1,1.0,1.0,Black Tempo
Cartouche of Solidarity,Mixed,,common,W,Enchantment — Aura Cartouche,,1,,,White Enchantments
Cast Down,Mixed,,common,B,Instant,,2,,,Black Spellslinger
Cathar Commando,Mixed,,common,W,Creature — Human Soldier,,2,3.0,1.0,White Enchantments
Cavern Harpy,Mixed,,common,BU,Creature — Harpy Beast,,2,2.0,1.0,Dimir Control
Chain Lightning,Mixed,,common,R,Sorcery,,1,,,Red Aggro
Chitin Gravestalker,Mixed,,common,B,Creature — Insect Warrior,,6,5.0,4.0,Black Spellslinger
Cindering Cutthroat,Mixed,,common,BR,Creature — Lizard Assassin,,3,3.0,2.0,Unassigned
Clawing Torment,Mixed,,common,B,Enchantment — Aura,,1,,,Unassigned
Clockwork Percussionist,Mixed,,common,R,Artifact Creature — Monkey Toy,,1,1.0,1.0,Gruul Aggro
Cloudkin Seer,Mixed,,common,U,Creature — Elemental Wizard,,3,2.0,1.0,Blue Tribals
Coalition Honor Guard,Mixed,,common,W,Creature — Human Flagbearer,,4,2.0,4.0,White Voltron
Coiling Oracle,Mixed,,common,GU,Creature — Snake Elf Druid,,2,1.0,1.0,Unassigned
Colossal Dreadmask,Mixed,,common,G,Artifact — Equipment,,6,,,Green Voltron
Combat Professor,Mixed,,common,W,Creature — Bird Cleric,,4,2.0,3.0,White Slivers
Compulsive Research,Mixed,,common,U,Sorcery,,3,,,Izzet Tempo
