name,CMC,Type,Color,Color Category,Oracle Text,tags,MTGO ID,Power,Toughness
Boros Elite,1,Creature — Human Soldier,W,White,"Battalion — Whenever this creature and at least two other creatures attack, this creature gets +2/+2 until end of turn.",,,1,1
Deftblade Elite,1,Creature — Human Soldier,W,White,"Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)\n{1}{W}: Prevent all combat damage that would be dealt to and dealt by this creature this turn.",,,1,1
Doomed Traveler,1,Creature — Human Soldier,W,White,"When this creature dies, create a 1/1 white Spirit creature token with flying.",,,1,1
Elite Vanguard,1,Creature — Human Soldier,W,White,,,,2,1
Faerie Guidemother,1,Sorcery — Adventure,W,White,Target creature gets +2/+1 and gains flying until end of turn. (Then exile this card. You may cast the creature later from exile.),,,,
Gideon's Lawkeeper,1,Creature — Human Soldier,W,White,"{W}, {T}: Tap target creature.",,,1,1
Goldmeadow Harrier,1,Creature — Kithkin Soldier,W,White,"{W}, {T}: Tap target creature.",,,1,1
Miner's Guidewing,1,Creature — Bird,W,White,"Flying, vigilance\nWhen this creature dies, target creature you control explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)",,,1,1
Novice Inspector,1,Creature — Human Detective,W,White,"When this creature enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,,1,2
Savannah Lions,1,Creature — Cat,W,White,,,,2,1
Thraben Inspector,1,Creature — Human Soldier,W,White,"When this creature enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,,1,2
Ainok Bond-Kin,2,Creature — Dog Soldier,W,White,"Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has first strike.",,,2,1
Cathar Commando,2,Creature — Human Soldier,W,White,"Flash\n{1}, Sacrifice this creature: Destroy target artifact or enchantment.",,,3,1
Kor Skyfisher,2,Creature — Kor Soldier,W,White,"Flying\nWhen this creature enters, return a permanent you control to its owner's hand.",,,2,3
Phantom Nomad,2,Creature — Spirit Nomad,W,White,"This creature enters with two +1/+1 counters on it.\nIf damage would be dealt to this creature, prevent that damage. Remove a +1/+1 counter from this creature.",,,0,0
Raffine's Informant,2,Creature — Human Wizard,W,White,"When this creature enters, it connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)",,,2,1
Seeker of the Way,2,Creature — Human Warrior,W,White,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever you cast a noncreature spell, this creature gains lifelink until end of turn.",,,2,2
Soltari Trooper,2,Creature — Soltari Soldier,W,White,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nWhenever this creature attacks, it gets +1/+1 until end of turn.",,,1,1
Stormfront Pegasus,2,Creature — Pegasus,W,White,Flying,,,2,1
Suture Priest,2,Creature — Phyrexian Cleric,W,White,"Whenever another creature you control enters, you may gain 1 life.\nWhenever a creature an opponent controls enters, you may have that player lose 1 life.",,,1,1
Syndic of Tithes,2,Creature — Human Cleric,W,White,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",,,2,2
Topan Freeblade,2,Creature — Human Soldier,W,White,"Vigilance (Attacking doesn't cause this creature to tap.)\nRenown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)",,,2,2
Ardenvale Tactician,3,Instant — Adventure,W,White,Tap up to two target creatures. (Then exile this card. You may cast the creature later from exile.),,,,
Heliod's Pilgrim,3,Creature — Human Cleric,W,White,"When this creature enters, you may search your library for an Aura card, reveal it, put it into your hand, then shuffle.",,,1,2
Holy Cow,3,Creature — Ox Angel,W,White,"Flash\nFlying\nWhen this creature enters, you gain 2 life and scry 1. (Look at the top card of your library. You may put that card on the bottom.)",,,2,2
Inspiring Overseer,3,Creature — Angel Cleric,W,White,"Flying\nWhen this creature enters, you gain 1 life and draw a card.",,,2,1
